frase	duracao_media	total_classificacoes	classificacao_majoritaria	total_positiva	total_negativa	total_neutra
Ai contei pro meu pai, o que ela tinha me dito naquele dia, ela falou que é mentira, que eu sou mentirosa e ela não disse nada daquilo.	5.5345	4	negativa	0	4	0
Ai descobriram que todas nós tínhamos nos cortado, pensaram que nos tínhamos feito alguma espécie de pacto.. chamaram nossos pais, mas só os da Laura e a minha mãe que foram lá e ficaram sabendo.	12.409333333333334	6	negativa	0	5	1
Ai ele começou a tentar brincar com a minha íntima, tentava por cima do short.	5.0814	5	neutra	0	2	3
Ai ele me achou melhor e colocou na receita apenas um comprimido de fluoxetina.	5.3552	5	neutra	1	0	4
Ai gente não gosto disso, sei la acho uma falta de respeito comigo!	2.9571666666666663	6	negativa	0	6	0
Ainda lembro das palavras doces que você dizia.	2.3518333333333334	6	positiva	6	0	0
Ainda lembro de quanta satisfação que eu tinha em te ver sorrir.	5.229833333333334	6	positiva	5	0	1
Ainda me lembro das vezes que você me olhava e dizia o medo que sentia de me perder.	7.015000000000001	6	negativa	2	4	0
Ainda me lembro das vezes que você me olhava e dizia o quanto me amava, o quanto me queria.	7.368399999999999	5	positiva	3	2	0
Ainda passo todos os natais de lá pra frente sozinha, e páscoas também.	9.1495	4	positiva	3	0	1
Ainda tenho sua coleira, seus potes de ração, tudo que te pertencia.	81.90020000000001	5	empate	1	2	2
Algo gostoso, muito gostoso estava beijando pela primeira vez e foi muito bom pra mim.	4.3020000000000005	5	positiva	5	0	0
Alguns esbarram na gente numa esquina qualquer, sem avisar e nos dão carinhos reais, sorrisos reais, proteção real.	12.6925	6	positiva	5	1	0
Alguns são leves e divertidos, nos mostram a alegria da vida.	4.29575	4	positiva	4	0	0
Alias ninguém nunca se importou em ao menos saber se eu estava bem, ou se estava precisando de ajuda.	5.3018	5	negativa	0	3	2
Amanhã vou comprar o meu vestido, mas não sei se vai ser aquele que eu tinha dito, porque além do vestido, eu ainda tenho que comprar um salto e o presente.	11.04825	4	neutra	0	0	4
Amei o remédio até agora.	1.62525	4	positiva	4	0	0
Amiga, acabei de ver a foto da Miih com o namorado no seu orkut, não me leve a mal, mas ele já deve ser bem mais velho que ela	9.794599999999999	5	negativa	0	3	2
Amizades de escola eram verdadeiras.	4.52825	4	positiva	3	0	1
Amizades verdadeiras é disso que o mundo precisa.	1.7986	5	positiva	4	0	1
Amo meu namorado , passamos por tantas coisas juntos e ele é sem duvida o melhor namorado que alguém pode querer.	2.515	5	positiva	4	0	1
Amo muito eles pois estão cuidando muito bem de mim.	2.3073333333333337	6	positiva	6	0	0
Amo-a mais que tudo nessa vida, então, eu amo a minha vida.	6.465000000000001	5	positiva	4	0	1
Amor platônico que me enche a alma.	2.2944	5	positiva	4	1	0
Andei pesquisando a idade do pessoal daqui, e como disse estou escrevendo um livro, já postei o primeiro capítulo do mesmo.	4.86875	4	neutra	1	0	3
Ando muito estressada ultimamente.	2.9095	6	negativa	0	6	0
Ano passado conheci um menino fiquei com ele.	3.0741666666666667	6	positiva	4	0	2
Ano passado foi tudo muito perfeito e esse ano, nenhum pouco.	3.8545	4	negativa	1	3	0
Ansioso por um abraço apertado e beijo na testa.	4.038333333333333	6	positiva	6	0	0
Antes de fazer a prova de história, nós rezavámos essa oração e eu rezo até hoje já faz 3 anos que eu não vejo a professora que nós ensinou essa oração mas eu gosto muito dela.	24.633499999999998	4	positiva	4	0	0
Antes de mandar, primeiro vê como foi o rumo entre os dois no dia.	7.2262	5	neutra	0	0	5
Antes de te conhecer eu tinha muitos amigos.	5.259600000000001	5	negativa	1	4	0
Ao cair da noite nos dirigimos ao hotel mais próximo da casa, com uma boa aparência, ficava mais a vontade para passar a noite.	5.843500000000001	4	empate	2	0	2
Ao contrário, eu te amo muito! 	2.1041666666666665	6	positiva	6	0	0
Ao contrário, gostaria de estar sempre ao seu lado para te amar e te dar muito carinho.	11.6632	5	positiva	5	0	0
Ao me penetrar foi intenso, foi prazeroso.	3.02625	4	positiva	4	0	0
Ao mesmo tempo me fazem bem, mas ao mesmo tempo me fazem mal.	18.075666666666667	6	empate	0	3	3
Ao olhar novamente para a ponte viu o seu irmão se aproximando de braços abertos.	9.4265	4	positiva	4	0	0
Ao sentir o gosto doce de uma bebida, será o meu beijo a te esquentar.	5.1256	5	positiva	5	0	0
Ao voltar para casa da minha mãe com 13 anos, minha irmã mais velha estava em uma vida de drogas e de coisas erradas, ela me batia sempre, usava minhas roupas e deixava suja, emprestava para as amigas drogadas dela, me provocava de uma maneira que eu sentia vontade de sumir daquele inferno.	8.678833333333333	6	negativa	0	6	0
Aos 14 anos, vi meus pais brigarem, varias vezes meu pai sair de casa, a meus discutirem comigo, e eu chegava em casa sabe, correndo pro meu quarto chorar.	8.945833333333333	6	negativa	0	6	0
Aos 5 anos de idade eu quase morri!	3.9170000000000003	5	negativa	0	4	1
Apaixonada pelas coisas simples que o mundo oferece como a mata, a chuva, o sol, a lua, o orvalho da floresta.	3.1145	4	positiva	4	0	0
Aparento um ar muito alegre, porque aprendi que chorar não resolve nada e isso acabou por fazer com que todos me confiassem coisas, porque sabem que sou muito positiva e de segurança.	7.1054	5	positiva	4	1	0
Apenas nos importávamos com a nossa opinião, e namoramos durante 9 meses.	5.6028	5	positiva	3	0	2
Apesar da distância ainda resta uma esperança de eu poder te ver, meu amor eterno.	4.789	4	positiva	4	0	0
Apesar de ser tarja vermelha, não vou poder usar ele mais do que dois meses, por causa da dependência.	6.696833333333333	6	neutra	0	1	5
Apesar de todo o ódio, eu sinto sua falta.	4.887333333333333	6	negativa	1	4	1
Aproveitei que já tinha acordado e liguei pro meu namorado pois a gente ia se ver de novo.	5.9206666666666665	6	positiva	4	0	2
Aquela promessa que eu te fiz naquele natal, e te abracei forte.	5.8886	5	positiva	4	0	1
Aquele dia na parte da manhã foi torturante, sabia que minha mãe falaria um monte, ela estoura do nada e não para mais, quando briga com meu pai quase bate nele.	5.90625	4	negativa	0	4	0
Arrepiei-me, ele percebeu e veio se aproximando cada vez mais, segurou meu rosto; foi aproximando seu rosto até que encostou seus lábios nos meus.	7.9398	5	positiva	4	0	1
As matérias são chatinhas, mas pelo menos a carga horária é menor.	9.039166666666667	6	neutra	1	2	3
As mãos envolvendo-os enquanto a boca não para de lambê-los como se fosse sorvete, porque quase derretem na boca.	9.8432	5	positiva	3	0	2
As vezes eu penso em orar em conversar com Deus.	5.082	4	positiva	3	0	1
As vezes me sinto triste, tenho 12 anos e sou bv, a maioria das minhas amigas, nao são bvl, e o pior é q eu me acho feia.	6.419999999999999	6	negativa	0	6	0
Assim ele vai tentar querer saber oque você quer.	15.109499999999999	6	neutra	0	1	5
Assim que cheguei, Penélope estava esperando.	1.96325	4	neutra	1	0	3
Assim que subir a Erika vai te olhar com aqueles olhos de reprovação.	5.2446	5	negativa	0	5	0
Ate que com 15 anos praticamente fugi de casa e ate hoje com 20 anos não voltei mais.	6.9382	5	negativa	0	3	2
Ate que nesse mês de outubro ela me mandou um convite no facebook e eu adicionei ela.	4.23125	4	neutra	1	0	3
Atitude de uma tola apaixonada.	4.7545	4	positiva	2	1	1
Atualmente estou em um relacionamento homossexual.	4.0494	5	neutra	1	0	4
Atualmente eu estou com 20 anos, e ele vai fazer 29 em Abril, prefiro caras mais velhos, sou feliz com ele e é o que importa.	4.58475	4	positiva	4	0	0
Até cheirar cola já pensei em fazer, na verdade foi uma coisa mais simbólica do meu desespero, sabia que não ia adiantar em nada.	10.195400000000001	5	negativa	2	3	0
Até que de repente minha irmã levanta e começa a chorar que nem uma louca.	3.733	4	negativa	0	4	0
Até que não aguentei mais e comecei a bater de frente, sai de casa sem rumo, muitas vezes, e pela primeira vez aos doze anos conheci o que era a depressão.	5.877	4	negativa	0	4	0
Aí ela veio dizendo que estava horrível, que eu não sabia fazer nada direito, que meu curso não vale de nada e que as outras pessoas fazem melhor que eu.	7.2307500000000005	4	positiva	4	0	0
Aí ele disse que a gente fazia outro dia.	7.163666666666667	6	neutra	0	0	6
Aí ele me abraçou, me beijou e a gente ficou enrolando e conversando um pouco e depois dormimos.	6.448166666666666	6	positiva	6	0	0
Aí quando foi hoje, estávamos na sala eu, minha mãe e meu pai, ai minha mãe disse que eu nunca fazia nada pra ela, nunca estava com boa vontade pra dar opiniões sobre o cabelo dela e tal.	8.828166666666666	6	negativa	0	5	1
Basta saber viver, saber ser livre , amar e ser amado , saber fazer e ser feliz !	3.1584	5	positiva	5	0	0
Bem assim, estava sorrindo pra vida, sem querer algo sério e ele foi me conquistando aos poucos com uma conversinha gostosa.	7.1286000000000005	5	positiva	4	0	1
Bem quando o meu filho fez 5 meses eu conheci um amigo da minha irmã, a principio foi uma amizade mais com menos de 15 dias demos nosso 1º beijo e nossa que beijo delicioso pronto foi paixão na certa.	8.549199999999999	5	positiva	3	2	0
Bem, ainda não sei se vou tomar.	6.14	6	neutra	0	0	6
Bem, andei dando uma pesquisada e o mais legalzinho que eu achei foi a lamotrigina, que não engorda.	6.545	4	neutra	1	0	3
Bem, esse é meu primeiro texto então vou me apresentar, meu nome é Kevin, moro em PE.	173.0872	5	neutra	0	0	5
Bem, eu não aguento mais essa ansiedade.	2.7135	6	negativa	0	6	0
Bem, meu psiquiatra quis que eu experimentasse ficar só com um comprimido de fluoxetina.	6.164499999999999	4	neutra	1	0	3
Bem, o importante é que eu estou melhor.	2.5421666666666667	6	positiva	6	0	0
Bicos que podem ser macios como os seios, que estão inchados e orgulhosos de serem tão fofos.	5.135	5	positiva	4	0	1
Biluca não é um nome muito conhecido não.	2.769	4	neutra	0	0	4
Boa parte dos que ameaçam fazer, não fazem, mas se você está pensando, eu tenho um relato a dar.	5.87925	4	empate	0	2	2
Boca macia, gulosa, quente, que vai tentar engolir ele todo e não vai conseguir, vai lambe-lo completamente para compensar o fato de não pode-lo tocar por inteiro com a boca.	14.349666666666666	6	empate	3	0	3
Bom como meu ultimo post foi em agosto , de lá pra cá aconteceram muitas coisas e esse tempo todinho sem postar alguma coisa foi porque meus dias estavam muito corridos vou tentar manter uma certa frequência por aqui.	15.047400000000001	5	neutra	0	0	5
Bom continuando, nós sempre marcávamos um cineminha básico.	3.630333333333333	6	neutra	1	0	5
Bom eu me chamo Daniele Felix Tenho 15 anos e não tenho com quem desabafar então escolhi aqui.	8.5282	5	negativa	0	3	2
Bom fiz uma pesquisa com alguns meninos e ele disseram que garotas que falam gírias é normal, mas falar um monte é estranho.	96.2315	4	neutra	0	0	4
Bom hoje começo escrever meu diário virtual, já que não tenho um único amigo pra me ouvir quando preciso.	7.7432	5	negativa	0	3	2
Bom hoje eu e minhas amigas tivemos a ideia de fazer o Jogo da Caneta.	4.5902	5	neutra	1	0	4
Bom meu primeiro dia de aula ja começou com dois professores novos.	3.699	4	neutra	0	0	4
Bom se amar é pensar em você 24hs por dia, sair na rua pensando que posso cruzar com você a qualquer instante e fechar os olhos e ver seu rosto, pode até ser amor!	17.6448	5	positiva	5	0	0
Bom tudo começou em Abril do ano passado quando minha mãe começou a namorar um homem que eu nem sei da onde que apareceu , bom eles estavam namorando a uma semana e ele já tava morando dentro da mi.nha casa	10.250499999999999	4	empate	0	2	2
Bom, antes de tudo devo deixar expresso aqui que ela quem me mandou o e-mail abaixo, contando detalhe por detalhe de tudo e eu garanto é 100% verdade.	6.2944	5	neutra	0	0	5
Bom, há muito tempo queria desabafar o que EU PENSO sobre o NAMORADO de uma AMIGA, uma das minhas amigas mais ÍNTIMAS.	9.286333333333333	6	neutra	0	0	6
Bom, nesses dias, eu sempre sinto sua falta.	3.2910000000000004	4	empate	2	2	0
Bom, trabalhamos na mesma empresa, porém, em setores diferentes, ela loira, cabelo longo, uma delicia.	4.9105	4	positiva	3	0	1
Briguei com a minha mãe por causa do notebook que ela não queria me emprestar pra fazer o trabalho e me queimei com a vela.	4.85	4	negativa	0	4	0
Briguei com ele e eu exclui tudo mas na outra semana vi mais e mais desenhos pornôs.	6.035200000000001	5	negativa	1	4	0
Brincar de acampamento na casa do meu avô , e das comidas estranhas que ele fazia !	5.255800000000001	5	positiva	4	0	1
Brincar de comidinha com as vizinhas !	2.559833333333333	6	empate	3	0	3
Brincar de golzinho com meu irmão mais velho . 	2.34325	4	positiva	3	0	1
CLARO QUE NÃO DEIXEI... QUE ÓDIO, SERÁ QUE MINHA IRMÃ NÃO VE QUE ELE NÃO PRESTA.	5.0672	5	negativa	0	5	0
Cachorro, obrigada por estar lá enquanto eu sofria bullying, e fiquei anoréxica por causa de comentários idiotas e banais que não mudariam minha vida se eu não ligasse.	25.1	5	negativa	0	3	2
Cada um é livre para cumprir a sua missão da maneira que desejar.	4.2746	5	positiva	4	0	1
Cara, eu não aguento mais o Douglas, garoto chato!	3.9081666666666663	6	negativa	0	6	0
Cara, na boa, isso me deixa furiosa com ela.	2.78875	4	negativa	0	4	0
Carnaval passado teve uma comemoração na escola, estavam todas as turmas reunidas, eu preferi ir ler um livro na biblioteca, lá estava o professor de músicas mais uns três alunos rockeiros também.	6.4755	4	neutra	1	0	3
Cartas de amor geralmente não começam assim, com explicações e motivos.	7.1756	5	neutra	0	1	4
Casei cedo e acho que não foi uma boa escolha essa.	3.67775	4	negativa	0	4	0
Chegamos ao nosso cantinho: uma maca cercada de cortinas.	5.925333333333334	6	neutra	2	0	4
Chegamos da festa e fomos logo dormir, minha irmã foi a primeira a cair no sono, enquanto eu e meu namorado ficamos de mãos dadas (ele deitado e eu também... e conversando baixinho).	7.088166666666666	6	positiva	6	0	0
Chegando lá falei com minhas amigas e fui para o corredor aonde eu espero meu namorado todos os dias até 7:20, ele então chegou guardou seus materiais e veio falar comigo.	10.6292	5	neutra	0	0	5
Chegando lá fomos para uma suite stand, super confortavel e lá começou, beijos gostosos por todo o meu pescoço e logo vi que ela estava super fogosa.	6.7219999999999995	4	negativa	0	4	0
Chegando lá, Helen me recebeu com um sorriso, mas alguma coisa em seu olhar estava diferente, logo me disse que a Erika estava lá com uma amigas desmontando os moveis.	20.344	4	neutra	1	0	3
Chegando na casa dele, eu me senti confortável.	2.2834	5	positiva	5	0	0
Chegando à fábrica fiz o processo normal, quando estou chegando a minha sala vejo o telefone tocar e quando olho o nome dele surgi no visor , meu coração dispara, atendo e marcamos para nos ver na saída, fico meio tranquila.	9.549	5	empate	2	1	2
Cheguei no trabalho hoje tão desanimada, vejo tanta coisa pra fazer mas não tenho estímulo, fico revoltada quando penso que me esforço tanto para dar o melhor de mim nessa empresa e as pessoas indiretamente atrapalham o meu trabalho.	8.786999999999999	4	positiva	2	1	1
Chorei mais do que no natal e na páscoa, juro juradinho que chorei.	6.564	6	negativa	1	4	1
Cobrir-te de beijos e saciar todos os seus desejos.	6.4075	6	positiva	6	0	0
Coisas acontecem nos piores momentos, faz parte dessa longa viagem chamada vida.	7.630000000000001	5	negativa	0	4	1
Coisas materiais podem ser jogadas fora.	4.37425	4	positiva	4	0	0
Coloque seus problemas nas mãos do Senhor, e Ele te dará Vitórias!	5.231	5	positiva	4	0	1
Com 27 anos, me imagino ainda estudando alguma coisa que me interesse, se for preciso estudar tudo de novo, me imagino com um canudo de respeito na mão, me imagino ter passado pelas melhores e mais engraçadas coisas da vida.	25.152749999999997	4	empate	2	0	2
Com certeza eu não vou ser uma das 24 pessoas que mais acertaram!	4.762499999999999	4	negativa	0	4	0
Com o final do período na faculdade, fiquei péssima.	2.60925	4	negativa	0	4	0
Comecei a cortar meus pulsos a fim de trazer dor física e esquecer a dor emocional.	3.342	5	negativa	0	5	0
Comecei a pegar carona com ele ao final do expediente, fato que achei melhor esconder do meu marido, ele acha que eu volto de ônibus, mas ônibus são tão lotados e demorados.	10.3708	5	negativa	0	3	2
Comecei a sentir uma estranha, excitação interna, não exatamente por ele, mas pela situação.	6.2043333333333335	6	positiva	5	0	1
Começamos a conversa e estava tudo certo ate que ele falou que ia voltar só para ver se eles deixam ele encostado no trabalho ou para ele assinar a carta de demissão.	16.6185	4	neutra	0	1	3
Começamos com um beijo daqueles super envolvente.	2.2388333333333335	6	positiva	6	0	0
Começamos nos beijar, ele falou coisas fofas.	2.5588	5	positiva	4	0	1
Começo a lembrar das minhas agressões e humilhações e fico mal.	2.1765	4	negativa	0	4	0
Como almoçamos quase todos os dias juntos, acabamos nos conhecendo bem, sabia de suas namoradas e ele um pouco de mim.	17.965249999999997	4	neutra	1	0	3
Como eu já havia quebrado a cara em um outro relacionamento (aliás, em quase todos) nem dei muita bola, mas depois o conheci melhor e comecei a gostar dele.	9.8754	5	positiva	4	0	1
Como o irmão mais velho e brincalhão, como o caçador de patos mais incrível que já passou pela terra.	9.5165	4	positiva	3	0	1
Como se nenhum problema externo pudesse nos atingir!	6.199	5	neutra	2	0	3
Como é pública, o nível é bem elevado.	5.8002	5	neutra	1	1	3
Comprei meu livro.	2.1474	5	neutra	2	0	3
