frase	empate_masculino	empate_feminino	total_positiva_m	total_negativa_m	total_neutra_m	total_positiva_f	total_negativa_f	total_neutra_f
E quando a gente acha aquela pessoa que e toda especial que te faz sorrir esquecer do seu passado e te faz pensar no presente, não paramos de pensar nela ficamos hora obcecada por ela, nos aprendemos a gostar daquele gosta e a fazer o que ela faz só pra falar que temos muita coisa em comum,	Sim	Não	2	1	2	2	1	1
Ela se interessa por todos os seus assuntos sem pé e sem cabeça.	Sim	Sim	2	1	2	2	0	2
Ele chamava todos os garotos de quem eu falava ser um amigo, de idiota, ele não era um amigo chato, que fica no pé, mas nunca me deixou fazer algo errado!	Sim	Não	2	2	2	2	1	3
Ele disse que não quer que eu me separe, não quer me ver sozinha.	Sim	Sim	2	1	2	2	0	2
Ele me receitou zolpidem, um hipnótico, pra me ajudar a dormir.	Sim	Não	2	0	2	1	1	2
Ele, como eu previa, não tinha camisinha, e eu me recusei a transar daquele jeito.	Sim	Sim	2	1	2	2	2	0
Eles só esperam um dia conseguir dizer, uma oportunidade, uma chance.	Sim	Não	2	0	2	0	0	5
Em relação ao nosso filho ele não mudou em nada sempre cumpriu com o papel que assumiu perfeitamente um ótimo pai disso jamais me queixaria.	Sim	Não	2	0	2	3	0	1
Em vez de cerca, uma ponte foi construída ali, ligando as duas margens do riacho.	Sim	Sim	3	0	3	2	0	2
Entrei lá decidida que só sairia com algum outro remédio além do antidepressivo.	Sim	Não	1	2	2	0	0	4
Era seminário, prova e trabalho tudo junto, eu tava pra ficar louca mesmo, ainda mais eu, que detesto falar em público.	Sim	Não	0	2	2	0	4	1
Escrevi este relato, a mando do pai do meu filho.	Sim	Não	2	1	2	0	3	1
Este foi o relato do meu sexo de ano novo.	Sim	Não	2	0	2	2	0	3
Estou criando essa página pra desabafar com meu próprio computador.	Sim	Não	2	2	2	3	1	2
Estou tendo um relacionamento com uma pessoa do local de trabalho, sim trabalhamos na mesma empresa mas em locais distintos, descreve-lo é falar de um homem alto, com uma voz que te faz ficar toda molhadinha, sim é uma voz que dispensa comentários.	Sim	Não	2	0	2	1	0	3
Eu cortei o cabelo, pintei, cortei, mudei minhas roupas, minha maquiagem, meus gostos.	Sim	Não	2	0	2	1	0	3
Eu e meu medo de tomar remédios novos, com medo de me dar alguma reação colateral ou algo do gênero.	Sim	Não	0	2	2	0	2	3
Eu fazia isso, porque eu não sabia o que era o amor.	Sim	Sim	0	2	2	0	2	2
Eu já estava acostumada por saber que muitos garotos já declaravam pra mim.	Sim	Não	2	1	2	1	0	3
Eu queria ser uma conhecedora da vida, pra entender meu coração.	Sim	Não	3	0	3	2	0	4
Eu realmente precisava lhe dizer isso, não aguentava mais.	Sim	Não	2	2	2	1	1	2
Eu saía cedo de casa e voltava muito tarde, isso quando eu voltava.	Sim	Não	2	2	1	0	0	4
Eu sou uma das únicas patricinhas de respeito, que curtem ler e que não são exemplos de putas.	Sim	Não	2	0	2	1	3	0
Falar que a vida é feita de escolhas, é extremamente fácil.	Sim	Não	0	3	3	0	0	4
Fico em cima dele, faço cavalgada, digo que paguei essa porra de motel durante uma hora e meia e quero transar até uma hora e meia.	Sim	Não	2	2	1	1	0	3
Fiquei com ela e nisso fomos para um motel, nesse dia brinquei com ela dizendo que ela iria se apaixonar por mim.	Sim	Sim	2	1	2	2	0	2
Foi eu, minha irmã, namorado, pai e mãe.	Sim	Não	3	0	3	2	0	4
Foi um susto para muita gente.	Sim	Não	0	3	3	0	1	3
Foram tantas dificuldades, tantos mistérios, tantas perguntas sem explicação.	Sim	Sim	0	2	2	0	2	2
HOJE COMO TÁ CHOVENDO EU FIQUEI DEITADA NA CAMA, POIS ELE VEIO DE MANSINHO E SENTOU AO MEU LADO, ATÉ AI TUDO BEM.	Sim	Não	2	0	2	0	0	5
Hoje acaba uma guerra.	Sim	Sim	0	2	2	2	1	2
Hoje eu acordei e vi seu lado da cama vazio.	Sim	Não	0	2	2	0	4	0
Hoje fui dormir 9h da manhã porque eu tinha ido dormir na casa do meu namorado sem meus pais saberem.	Sim	Sim	2	0	2	0	2	2
Hoje marquei uma consulta no ginecologista.	Sim	Não	3	0	3	2	0	4
Hoje meu amigo (Luciano) me fez passar um mega mico.	Sim	Não	2	2	1	0	1	3
Hoje é o meu aniversário.	Sim	Não	2	0	2	4	0	1
Isso é tudo que tive a coragem de sonhar, na esperança de um dia ver esta minha pretensão realizada.	Sim	Não	2	0	2	2	1	1
Ju e Geovana ficaram menos mandonas, o que melhorou o nosso relacionamento.	Sim	Não	2	1	2	3	0	1
Luana minha amiga me levou pra um culto evangélico para o pastor falar comigo, eu liguei pro meu namorado na época pra ir comigo.	Sim	Não	0	2	2	0	2	3
Mas apesar de todas essas coisas, às vezes esqueço de tudo que to passando e me sinto tão bem.	Sim	Não	2	2	0	2	3	0
Mas estas pessoas são só inúmeros mortais que falam o que da na telha, literalmente, eles não sabem nada sobre mim, e muito menos, sobre o que eu penso.	Sim	Sim	2	2	1	0	2	2
Mas eu acho que nem na de remanescentes eu vou estar.	Sim	Não	0	2	2	0	3	1
Mas foi tranquilo. Deitei e dormi feito um bebê, das duas vezes que eu tomei.	Sim	Não	2	1	2	3	0	1
Mas milagres existem, perguntei a ela.	Sim	Não	2	0	2	1	0	3
Mas não teria outro modo de escrever algo que sinto sem tentar explicar ou dar motivos mesmo que amar isente qualquer tipo de explicação e não requer motivos para acontecer.	Sim	Não	3	0	3	0	0	6
Mas sigo lutando, luto desde o dia em que desisti de me matar jogando-me da laje sobre um bambu as duas e tantas da madrugada de uma noite estrelada.	Sim	Não	2	0	2	1	3	1
Mas tudo bem, agora eu percebi que nunca precisei de você para nada pois até quando eu sentia falta de você e eu chorava.	Sim	Não	2	2	1	1	3	0
Me desculpa por não ter cuidado direito de ti, pequeno.	Sim	Não	0	2	2	0	5	0
Me refugiei dentro da umbanda com meus guias e guias dos outros.	Sim	Sim	3	0	3	3	0	3
Mesmo quando esse alguém, te dá provas do quanto ele não está interessado, você continua arrumando meios de reverter isso.	Sim	Não	2	2	1	0	3	1
Meu avô , me ensinando o dever de casa e tentando arrancar meu dente mole.	Sim	Não	2	1	2	3	0	1
Meu fim de semana foi razoável, digamos que esperava um pouquinho mais.	Sim	Não	1	2	2	1	1	2
Meu psicólogo me perguntou se eu queria uma segunda opinião (tanto pra ver a questão da medicação quanto pra ver se eu realmente tinha TPB-personalidade borderline) e eu concordei.	Sim	Não	2	0	2	0	0	5
Na páscoa, lá estávamos nós, no mesmo ano, sozinhos em casa de novo.	Sim	Sim	0	2	2	2	1	2
Na realidade não é que estão seguindo a moda: eles estão sempre na moda.	Sim	Não	3	0	3	1	0	3
Nada contra, claro, mas as pessoas deveriam se enxergar mais, pelo menos eu acho.	Sim	Não	2	2	1	0	1	3
Nem ao menos um beijo seu eu consegui, mas posso afirmar que não foi necessário para mim me apaixonar loucamente por ti.	Sim	Sim	3	0	3	2	2	2
Nos dias de chuva ou quando tinha pesadelo , ir correndo pra cama dos meus pais , ou dormir do lado da cama dele e fazer meu pai dormir a noite toda com a mão em cima de mim , se não não conseguia dormir .	Sim	Não	2	2	2	3	1	0
Nunca namorei a distância, mas acho que não seria fácil!	Sim	Não	2	1	2	0	1	3
Nunca transamos, mas acho que tá mais perto que longe.	Sim	Não	2	0	2	0	0	4
Não fique quieto durante o encontro, vai deixá-la quieta também e caso ela esteja com vontade de te dizer algo, pode ficar com vergonha e continuar quieta, então, esteja sempre puxando bons assuntos.	Sim	Não	2	0	2	1	0	4
Não ouso jogar nada daquilo fora, por que é o que me resta de ti, não é?	Sim	Não	2	2	1	1	1	2
Não tenho jeito mesmo, gaguejo, esqueço, o escambau.	Sim	Não	1	2	2	0	3	1
O meu namorado não tem estilo nenhum, me ajudem?	Sim	Não	0	2	2	0	0	4
O que estou sentindo por ti é algo que nem eu mesma consigo explicar, tentei me envolver com muitos, tentei te esquecer de várias maneiras, mas não consigo, é mais forte do que eu.	Sim	Não	2	0	2	1	3	1
O remédio funciona, mas o problema é que ele tem efeitos colaterais mais que fortes.	Sim	Não	0	2	2	0	4	1
O velho pediu que com cuidado as tirassem dos sacos e viu que eram verdadeiramente formosos exemplares.	Sim	Não	2	0	2	0	0	4
Obrigado por ter mudado minha vida, e salvado ela.	Sim	Não	2	0	2	2	0	3
Olá , quem nunca sofreu por amor ou paixão?	Sim	Sim	0	2	2	0	2	2
Ontem [domingo] não deu para escrever aqui pois estava muito ocupada.	Sim	Não	2	0	2	0	1	3
Ontem, eu estava com a minha melhor amiga na sala de aula, eu cheguei atrasada e conversei um pouco com a minha melhor amiga.	Sim	Não	2	0	2	2	0	3
Para ser feliz não existe poção mágica.	Sim	Sim	2	0	2	2	0	2
Passei a não sentir mais a tua falta passei a não chorar mais por você pois o amor de minha mãe me preenchia e afogava toda a minha dor.	Sim	Não	2	2	0	2	3	0
Passei o final de semana inteiro fazendo um vídeo para o meu namorado para esse dia fora o conjunto de roupa intima novo que eu comprei para hoje.	Sim	Não	2	0	2	1	0	3
Passei um bom tempo refletindo se iria tomar ou não, como se aquilo fosse um veneno ou algo do tipo.	Sim	Não	2	2	1	0	0	4
Penso que o amor surge não sei onde, cresce não sei porque e machuca sem querer você talvez seja minha única esperança... ou a última.	Sim	Não	2	2	1	0	3	1
Percebi que quase não batia sol, e que a maior dificuldade seria as roupas, percebi que a Helen não estava feliz, mas sabia eu que ajudaria ela, meu dinheiro já estava acabando, ela com o nome sujo e atolado de contas não poderia me ajudar tão cedo.	Sim	Não	1	2	2	0	4	0
Porque eu fiz a sua alma gêmea.	Sim	Sim	2	0	2	2	0	2
Poste frases de garota desapegada,que não precisa de homem nenhum pra ser feliz.	Sim	Não	2	2	1	2	1	1
Preciso que você também se ame e prometa que vai procurar cuidar mais de mim, sou parte de você.	Sim	Não	2	1	2	1	1	2
Quando li essa mensagem eu pensei vou ligar para ele e ver como ele está, e tenta adianta oq ele quer fala comigo.	Sim	Não	2	0	2	0	0	5
Quando o cara tá interessado em mim as vezes eu não tô interessada no cara ou todo mundo ta interessando e não da certo, acontece alguma coisa e pronto.	Sim	Sim	0	3	3	0	2	2
Quando o sangue esvair do seu corpo, será meu amor indo junto de ti.	Sim	Sim	3	3	0	0	2	2
Quando o telefone toca,já me acelera o coração	Sim	Não	2	1	2	3	0	1
Quando o ver de umas olhadas pra ele, (mas sem disfarçar) no começo ele não vai intender, mas o encare por 1 segundo, e depois delicadamente mexa no cabelo olhando para outro lugar.	Sim	Não	3	0	3	3	1	2
Quarta feira à noite sai o gabarito, aí eu vou saber quantas eu acertei.	Sim	Não	3	0	3	0	0	6
Que estará em meus sonhos você é diferente!	Sim	Não	2	0	2	3	0	1
Saímos e fomos no horario de trabalho para um motel chamado Beira Rio, proxímo de nosso trabalho. 	Sim	Não	0	2	2	0	5	0
Se os dois acabarem se dando bem conversando, provavelmente, esse vai ser um sinal de que ela está gostando de conversar e tá achando você uma pessoa legal, isso é muito importante para que tudo dê certo.	Sim	Não	2	0	2	1	0	4
Sei muito bem que vou ficar escrevendo e ele vai estar olhando, analisando o que eu tô fazendo.	Sim	Não	1	2	2	0	0	4
Sei que foi sem querer mas eu tenho a obrigação de prestar mais um pouco de atenção.	Sim	Não	2	0	2	0	2	3
Seria maldade faltar pra um enquanto eu tenho e só não dou por que sou apegada aquilo.	Sim	Não	1	2	2	0	1	3
Sou como o rio que corre em busca de algo, mas não sabe o que, e nem quando vai chegar.	Sim	Não	1	2	2	0	1	3
Sou muito alta e magra, não tenho corpo, e sofro por causa disso.	Sim	Não	2	0	2	1	3	1
SÓ QUE ELE COMECOU A DESVIAR O OLHAR DA TV PRA MIM, EU FINGIA QUE NÃO VIA E CONTINUAVA FOCADA NA TV.	Sim	Não	2	0	2	1	0	3
Só que aconteceu uma coisa engraçada, aliás desde o primeiro dia.	Sim	Sim	2	1	2	2	0	2
Só sei que ontem eu sonhei com ele e quando estou com ele me esqueço de tudo que está em volta de mim . 	Sim	Não	2	0	2	1	3	1
Tem que ser pra alguém que realmente mereça a história, e tenha paciência para ouvir ela.	Sim	Não	2	0	2	0	0	5
Teve um que em cima da hora eu desisti e comecei a chorar, mas eu falei com a professora e ela me passou um trabalho alternativo enorme, pra eu não ficar com zero.	Sim	Não	0	2	2	2	1	1
Tirei a minha calça e eu fiquei só de cueca box cinza e uma regata preta, ela foi ao banheiro e quando voltou veio com uma calcinha fiu dental vermelhinha matadora.	Sim	Sim	2	0	2	2	0	2
Topiramato emagrece, mas fode com a memória, e pra uma universitária isso não é nada legal.	Sim	Não	0	2	2	0	3	1
Tudo começou assim, fui visitar uma amiga minha que me ligou mais cedo dizendo que queria me ver, porém, ao chegar na frente da casa dela vi que estava tudo fechado, ou seja ou ela não estava em casa ou já estava dormindo.	Sim	Não	2	0	2	3	0	2
Uma certa vez, eu tinha menos de 1 mês de namoro quando minha sobrinha nasceu, e meu namorado foi no hospital conhece-la e aproveitar e conhecer uma parte de minha família, que por sinal o adora.	Sim	Sim	2	0	2	2	0	2
Ver vc sair poderia ter sido mais um, mas nao é isso o que está acontecendo.	Sim	Não	2	2	0	0	2	3
Você foi simplesmente roubado de mim, não é?	Sim	Não	2	2	0	2	3	0
Você foi, é, e sempre será minha guerreira, a senhora não perdeu pro câncer, mas o câncer perdeu pra ti minha guerreira.	Sim	Não	2	2	0	2	3	0
Vou morrer de vergonha quando o resultado sair!	Sim	Não	0	2	2	0	1	3
Vou sentir falta dela, mas a vida é assim, as vezes temos que abrir mão de algo, para podermos continuar nosso caminho.	Sim	Não	1	2	2	1	1	2
Vou sentir sua falta és um pedaço de mim que fará muita falta.	Sim	Não	2	2	1	0	4	0
u brigava com você por deixar TV e as luz de vários cômodos acesa.	Sim	Não	0	3	3	0	5	1
É mesmo uma ousada declaração de amor.	Sim	Não	2	0	2	5	0	0
É um nojo, ai eu peguei o ônibus da empresa e quando subi ele tiro um braço da blusa sabe e depois ia tirar o resto da camisa.	Sim	Não	0	2	2	0	1	3
 Amo você mais do que a mim mesma, afinal você é minha mãe.	Não	Sim	5	0	0	2	2	0
 Ele sempre esteve do meu lado e o que eu mais queria é que ele estivesse do meu lado todos os dias.	Não	Sim	3	2	0	2	2	0
 Mas eu acabei lendo e me interessei pra caramba nele.	Não	Sim	3	0	2	2	0	2
A Nanda ligou para a SAMU mas não adiantou muita coisa eles não podiam vir, mas o meu pai me levou para a UPA lá fui atendia rapidamente o medico não sabia o que eu tinha e me receitou um remédio para eu parar de tremer o remédio era via venosa ou seja teria que tomar ele junto com soro na veia. 	Não	Sim	0	3	1	0	2	2
Acabando a prova, eu desci encontrei ele no pátio, ele pegou o livro da minha mão e fomos pra parada, chegando lá sentamos e começamos a conversar, conversa vai, conversa vinha.	Não	Sim	3	0	1	2	0	2
Acho que ele prefere você, e não a minha razão.	Não	Sim	0	2	3	2	0	2
Acho que vou fazer permanente e libertar os cachos que existem dentro de mim!	Não	Sim	2	0	3	2	0	2
Agora com o coração mais aberto, seguia com o caminhão em direção a nova casa, depois de trinta minutos estávamos próximas.	Não	Sim	3	0	1	2	0	2
Ai chegou aquela doida que te falei naquele dia que eu paguei mico e que ela não me deixava conversar com a minha melhor amiga.	Não	Sim	1	4	1	0	3	3
Amiga, acabei de ver a foto da Miih com o namorado no seu orkut, não me leve a mal, mas ele já deve ser bem mais velho que ela	Não	Sim	0	3	2	0	2	2
Ansioso por um abraço apertado e beijo na testa.	Não	Sim	6	0	0	2	0	2
Apenas nos importávamos com a nossa opinião, e namoramos durante 9 meses.	Não	Sim	3	0	2	2	0	2
Aproveitei que já tinha acordado e liguei pro meu namorado pois a gente ia se ver de novo.	Não	Sim	4	0	2	2	0	2
Bicos que podem ser macios como os seios, que estão inchados e orgulhosos de serem tão fofos.	Não	Sim	4	0	1	2	0	2
Bom continuando, nós sempre marcávamos um cineminha básico.	Não	Sim	1	0	5	2	0	2
Cada um é livre para cumprir a sua missão da maneira que desejar.	Não	Sim	4	0	1	2	0	2
Coisas acontecem nos piores momentos, faz parte dessa longa viagem chamada vida.	Não	Sim	0	4	1	0	2	2
Comecei a pegar carona com ele ao final do expediente, fato que achei melhor esconder do meu marido, ele acha que eu volto de ônibus, mas ônibus são tão lotados e demorados.	Não	Sim	0	3	2	0	2	2
Conheci um amigo da minha irmã esses dias, ele tem 17 anos e pelo que percebi, é bem galinha, resolvi então, dar uma estudadinha no seu tipo e vou dar algumas dicas para as menininhas apaixonadas que lerem isso.	Não	Sim	3	0	1	2	1	2
Dai o tempo passou e ela passava na frente da loja que eu trabalho e a gente se olhava.	Não	Sim	1	1	3	2	0	2
Dai passou o tempo ,e eu entrei na faculdade federal(hj estudo em uma particular ,assunto pra mais tarde) e logo de cara fiz amizade com a turma.	Não	Sim	5	0	1	2	0	2
Declarações de amizade e dos desenhos doidos no caderno de escola.	Não	Sim	2	0	3	2	0	2
Depois daquele dia eu mudei inovei meu visual mudei meu guarda-roupa terminei os estudos hoje sou psicóloga e ajudo mulheres como eu, se eu te disser que esqueci não seria verdade mas consigo lembrar de tudo sem dor.	Não	Sim	3	1	0	2	2	0
Depois de 6 horas de prazer saímos do motel.	Não	Sim	5	0	1	3	0	3
Depois de um tempo, deitamos no sofá (já era de tarde) pois ele queria ver o tal jogo que ia passar na tv.	Não	Sim	1	0	5	2	0	2
Depois disso ficávamos de vez em quando, escondidos, para ninguém mais atrapalhar.	Não	Sim	1	0	3	2	0	2
Depois ele me disse que eu valorizo e desvalorizo ele muito rápido, que mudo constantemente de humor, uma hora to triste e outra hora super alegre e me perguntou se eu tinha algum transtorno de personalidade ou de humor.	Não	Sim	1	5	0	0	3	3
Desde já agradeço a todos e desejo uma otima noite!	Não	Sim	4	0	0	2	0	2
Dois irmãos que moravam em fazendas vizinhas, separadas apenas por um riacho, entraram em conflito.	Não	Sim	0	3	2	0	2	2
E cortou a minha franja no meio da testa e torta.	Não	Sim	0	3	1	0	2	2
E deixar alguém feliz vale mais do que saber da minha vida.	Não	Sim	5	0	1	2	0	2
E eu fico me sentindo como se fosse uma vagabunda qualquer também, que nem elas - quem sou eu pra chamar alguém de vagabunda mesmo?	Não	Sim	1	2	1	0	2	2
E eu gravo isso, Deus abençoa minha sogra, de paz a ela.	Não	Sim	6	0	0	2	0	2
E foi assim nos conhecemos e nos tornamos amigos e realmente éramos amigos sem interesses em nada apenas amigos.	Não	Sim	3	0	1	2	0	2
E o pior de tudo é q eu nuca fui de falar muito com os meninos e também eu não me considero uma pessoa muito bonita.	Não	Sim	0	3	1	0	2	2
E os gemidos são tão forçados, parece mais que estão parindo do que fazendo sexo - sexo não, tá mais pra uma cópula.	Não	Sim	0	4	0	0	2	2
E você merece amor melhor, você merece coisa melhor, um cara melhor.	Não	Sim	2	3	0	2	0	2
Ele chegou as 00:30 eu o esperava ansiosa pois sempre dormíamos agarradinhos e por isso o esperava.	Não	Sim	3	0	2	2	0	2
Ele desliga o celular de madrugada e no outro dia diz que acabou a bateria.	Não	Sim	1	2	1	0	2	2
Ele disse que me amava que sente minha falta que quando terminasse a faculdade iria vim me busca.	Não	Sim	5	0	0	2	0	2
Ele insinuou que eu poderia estar grávida, eu disse que isso, nem pensar, pois eu tomava anticoncepcional.	Não	Sim	0	1	4	0	2	2
Ele só está fazendo isso porque não aguenta mais a mãe dele e que quando eles brigaram ele pegou toda a roupa dele e colocou em uma sacola e fez maior sacanagem com ele.	Não	Sim	0	5	0	0	2	2
Eles decidiram agir da forma mais natural possível.	Não	Sim	3	0	2	2	0	2
Eles não pensam como garotas. Então, não os trate como amigas.	Não	Sim	0	0	4	0	2	2
Em meus sonhos imaginava sua boca me dizendo as palavras que me faria feliz, que a partir desse dia seriamos eu e você pra sempre.	Não	Sim	6	0	0	3	0	3
Encontrarei alguém que realmente me faça feliz, talvez, Deus quer que ele seja somente meu amigo, o meu melhor amigo, aquele amigo do jardim de infância, Deus tem algo melhor pra mim.	Não	Sim	5	0	1	2	0	2
Enquanto eu tiver forças luto, acho que até por isso consegui bom emprego cedo, me relaciono muito bem com as pessoas, lógico que a beleza de descendente de índio com italiano faz a diferença.	Não	Sim	4	0	0	2	0	2
Enquanto isso não acontece, vivo a minha doce vida.	Não	Sim	5	0	0	2	0	2
Entrei neste fórum e vi pessoas super legais e inteligentes.	Não	Sim	4	0	1	2	0	2
Então é isso, fico por aqui, hoje estou muito feliz e com saudade dele já, a gente é grudento do nosso jeito, e eu amo isso.	Não	Sim	4	0	0	2	1	2
Então, caso vocês não se vejam mais, ligue para ela e a convide para sair para os dois conversarem.	Não	Sim	3	0	2	2	0	2
Então, nem deu tempo de eu ler uma página do livro e já bateu.	Não	Sim	1	1	2	0	2	2
Equações são mesmo muito legais de se fazer.	Não	Sim	3	0	2	2	0	2
Esse garoto não é metido, é super gente boa, mas de uns tempos pra cá eu me apaixonei por ele.	Não	Sim	5	0	1	2	0	2
Esses sentimentos começaram quando tinha 14 anos(eu acho), não sei o que deu de errado na minha vida.	Não	Sim	2	1	1	2	1	2
Este filme ensina como amar e respeitar a pessoa que você ama. 	Não	Sim	6	0	0	2	0	2
Estes seios que não cabem dentro de uma mão, esparramam-se entre os dedos, que torce para que os aperte com firmeza, dedos que entram pelo sutiã, aparecendo pelo decote malicioso da blusa vermelha, e por dentro do sutiã aperta-os com doçura, delicadamente, apalpando e puxando para fora aquilo tudo que por dentro queima e palpita forte.	Não	Sim	3	0	2	2	0	2
Estou escrevendo palavras desconexas porque minha mente é desconexa.	Não	Sim	0	4	1	0	2	2
Eu acho que já era madura pra ter oito ou nove anos, sinceramente.	Não	Sim	1	1	4	0	2	2
Eu acredito nessa coisas, pode parecer besta pra algumas pessoas, mas pra mim não é.	Não	Sim	1	0	4	2	0	2
Eu amo sua sinceridade e inocência.	Não	Sim	5	0	0	2	0	2
Eu era uma criança muito tímida, me lembro que a turma inteira fazia bagunça e eu ficava ali no canto, sozinho sem conversar com ninguém.	Não	Sim	0	5	0	0	2	2
Eu fiz o mundo, eu fiz o amor.	Não	Sim	6	0	0	2	0	2
Eu liguei o dia todo para o Nando para ver se ele viria a minha festa.	Não	Sim	1	1	3	0	2	2
Eu me apaixonei por um rapaz que é deste site.	Não	Sim	1	1	3	2	0	2
Eu meio tímido, ela veio me da uma abraço e dois beijos no rosto.	Não	Sim	3	1	1	2	0	2
Eu não sabia o que fazer!	Não	Sim	0	4	2	0	2	2
Eu não tinha medos.	Não	Sim	3	0	2	2	0	2
Eu parei no estacionamento de uma feira do bairro Santo Antônio em Manaus e lá começamos a nos agarrar com vontade.	Não	Sim	4	0	0	2	0	2
Eu queria ter ido pra quadra mas a professora queria que a gente ficasse na sala de vídeo e ver o filme chato.	Não	Sim	1	5	0	0	3	3
Eu sei que devo esperar, mais esperei demais.	Não	Sim	0	5	1	0	2	2
Eu só sei que agora estou melhor ,e sabe o que mais me surpreendeu, o fato de essas palavras virem dela.	Não	Sim	4	0	0	2	2	1
Eu vejo que a chuva cai de acordo com minhas lágrimas , eu vejo que o dia está horrível e vejo a consequência em meu corpo.	Não	Sim	0	4	0	0	2	2
Eu vou me formar, trabalhar farei o possível para manter a paz em minha casa.	Não	Sim	6	0	0	2	0	2
Fico com inveja dos meus amigos que resolvem tudo sozinhos, sabem ir pra todos os lugares, e numa boa.	Não	Sim	2	3	0	0	2	2
Foi maravilhoso, perfeito, por um momento consegui a atenção que minha irmã tinha sem esforços.	Não	Sim	4	0	0	2	0	2
Foi tudo tão intenso, um mês parecia anos.	Não	Sim	1	0	3	2	0	2
Ganhei um notebook novo.	Não	Sim	3	0	2	2	0	2
Gente gostaria de desabafar com vocês minha historia com minha família.	Não	Sim	2	1	3	0	3	3
Grito dezenas de vezes durante o dia.	Não	Sim	0	0	5	0	2	2
Já falei algumas coisas pra ela, mas é complicado falar do namorado alheio né?	Não	Sim	0	2	3	0	2	2
Lembra daquele natal que eu passei sozinha?	Não	Sim	0	2	3	0	2	2
Mas a sensação de alguém por perto era suficiente pra mim.	Não	Sim	6	0	0	3	0	3
